,assists,faceoffWinPctg,gameDate,gameId,gameWinningGoals,gamesPlayed,goals,opponentTeamAbbrev,otGoals,penaltyMinutes,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerWeight,plusMinus,points,ppGoals,ppPoints,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,teamAbbrev,timeOnIcePerGame
10,1,0.0,2017-11-28T00:30:00Z,2017020366,0,1,3,ANA,0,0,Farmington Hills,USA,1997-12-18,MI,39,2,2016,Alex,67,8479337,0,1,DeBrincat,Alex DeBrincat,USA,R,R,165,3,4,1,1,0,0,22.0,0.6,5,CHI,901.0
11,1,0.0,2017-11-14T00:00:00Z,2017020265,1,1,3,DAL,0,0,Helsinki,FIN,1994-09-11,,18,1,2012,Teuvo,71,8476882,0,1,Teravainen,Teuvo Teravainen,FIN,L,L,178,3,4,1,1,0,0,23.0,0.75,4,CAR,1033.0
12,1,0.0,2017-10-29T22:00:00Z,2017020168,1,1,3,PIT,0,0,Plymouth,USA,1986-08-31,MN,5,1,2004,Blake,77,8471218,0,1,Wheeler,Blake Wheeler,USA,R,R,225,3,4,0,1,0,0,26.0,1.0,3,WPG,1245.0
13,1,0.5217,2017-11-18T18:00:00Z,2017020292,0,1,3,PHI,0,0,Brampton,CAN,1994-10-12,ON,6,1,2013,Sean,75,8477497,0,1,Monahan,Sean Monahan,CAN,C,L,195,1,4,3,3,0,0,21.0,0.6,5,CGY,1158.0
14,1,0.0,2017-12-20T00:00:00Z,2017020524,0,1,3,MTL,0,2,Vienna,AUT,1984-01-19,,5,1,2003,Thomas,74,8470598,0,1,Vanek,Thomas Vanek,AUT,L,R,214,1,4,1,1,0,0,22.0,1.0,3,VAN,943.0
15,1,1.0,2017-11-12T23:00:00Z,2017020262,0,1,3,CHI,0,0,Buffalo,USA,1995-09-13,NY,100,4,2013,Miles,74,8477425,0,1,Wood,Miles Wood,USA,L,L,195,2,4,2,2,0,0,18.0,0.4285,7,NJD,780.0
16,1,0.3846,2017-12-16T00:00:00Z,2017020491,0,1,3,CAR,0,0,North Chelmsford,USA,1996-10-28,MA,2,1,2015,Jack,74,8478403,0,1,Eichel,Jack Eichel,USA,C,R,206,1,4,0,0,0,0,26.0,0.2727,11,BUF,1197.0
17,1,0.4545,2017-10-18T23:30:00Z,2017020094,1,1,3,MTL,0,0,Kramfors,SWE,1996-09-13,,29,1,2014,Adrian,74,8477960,0,1,Kempe,Adrian Kempe,SWE,L,L,195,4,4,0,0,0,0,20.0,0.6,5,LAK,707.0
18,1,0.5,2017-12-31T17:30:00Z,2017020593,1,1,3,TOR,0,0,Marsta,SWE,1993-01-08,,53,2,2011,William,73,8476448,0,1,Karlsson,William Karlsson,SWE,C,L,189,2,4,0,0,0,0,23.0,1.0,3,VGK,1043.0
19,2,0.0,2017-11-22T00:00:00Z,2017020317,0,1,2,EDM,0,5,Yaroslavl,RUS,1991-12-13,,16,1,2010,Vladimir,72,8475765,0,1,Tarasenko,Vladimir Tarasenko,RUS,R,L,225,4,4,0,1,0,0,20.0,0.25,8,STL,1001.0
20,2,0.0,2017-12-07T01:00:00Z,2017020427,0,1,2,CHI,0,4,Toronto,CAN,1994-03-29,ON,16,1,2012,Tom,76,8476880,0,1,Wilson,Tom Wilson,CAN,R,R,218,3,4,0,0,1,1,21.0,0.6666,3,WSH,1013.0
21,2,0.3076,2017-11-17T00:30:00Z,2017020282,0,1,2,DAL,0,0,Markham,CAN,1990-02-07,ON,1,1,2008,Steven,73,8474564,0,1,Stamkos,Steven Stamkos,CAN,C,R,194,3,4,1,1,0,0,23.0,0.6666,3,TBL,1014.0
22,2,0.0,2017-11-26T00:00:00Z,2017020353,0,1,2,TBL,0,2,Madison,USA,1987-10-02,WI,5,1,2006,Phil,72,8473548,0,1,Kessel,Phil Kessel,USA,R,R,202,0,4,1,3,0,0,22.0,0.6666,3,PIT,1039.0
23,2,0.0,2017-10-08T00:00:00Z,2017020027,0,1,2,WPG,0,0,Chatham,CAN,1990-06-07,ON,114,4,2008,TJ,73,8474673,0,1,Brodie,TJ Brodie,CAN,D,L,182,1,4,1,1,0,0,30.0,0.4,5,CGY,1549.0
24,2,0.3333,2017-10-18T23:30:00Z,2017020094,0,1,2,MTL,0,0,Toronto,CAN,1982-06-08,ON,49,2,2001,Michael,69,8469500,0,1,Cammalleri,Michael Cammalleri,CAN,L,L,185,3,4,1,1,0,0,19.0,0.6666,3,LAK,841.0
25,2,0.8,2017-10-28T23:00:00Z,2017020158,1,1,2,NYR,0,0,Victoriaville,CAN,1993-02-24,QC,26,1,2011,Phillip,73,8476479,0,1,Danault,Phillip Danault,CAN,C,L,195,3,4,0,1,0,0,25.0,0.3333,6,MTL,1175.0
26,2,0.6666,2017-10-14T23:00:00Z,2017020066,0,1,2,WSH,0,0,Hearst,CAN,1988-01-12,ON,22,1,2006,Claude,71,8473512,0,1,Giroux,Claude Giroux,CAN,C,R,185,3,4,0,0,0,0,22.0,0.5,4,PHI,890.0
27,2,0.5625,2017-11-22T00:00:00Z,2017020317,1,1,2,EDM,0,2,Saskatoon,CAN,1991-08-22,SK,5,1,2009,Brayden,73,8475170,0,1,Schenn,Brayden Schenn,CAN,C,L,200,4,4,1,1,0,0,22.0,0.5,4,STL,1057.0
28,2,0.25,2017-10-17T23:30:00Z,2017020091,0,1,2,MTL,0,0,Guelph,CAN,1989-03-28,ON,9,1,2007,Logan,73,8474053,0,1,Couture,Logan Couture,CAN,C,L,205,1,4,1,2,0,0,28.0,0.6666,3,SJS,1160.0
29,3,0.25,2017-12-19T19:00:00Z,2017020516,0,1,1,CAR,0,0,Regina,CAN,1986-03-19,SK,,,,Tyler,73,8475098,0,1,Bozak,Tyler Bozak,CAN,C,R,199,2,4,0,2,0,0,18.0,0.25,4,TOR,814.0
30,3,1.0,2017-10-21T23:00:00Z,2017020117,0,1,1,CBJ,0,0,Ithaca,USA,1984-11-04,NY,13,1,2003,Dustin,72,8470606,0,1,Brown,Dustin Brown,USA,R,R,216,5,4,0,0,0,0,28.0,0.1666,6,LAK,1172.0
31,3,0.52,2017-11-04T23:00:00Z,2017020210,0,1,1,PIT,0,0,London,CAN,1995-04-05,ON,9,1,2013,Bo,72,8477500,0,1,Horvat,Bo Horvat,CAN,C,L,223,4,4,0,0,0,0,30.0,0.3333,3,VAN,1208.0
32,3,0.4545,2017-10-30T23:30:00Z,2017020174,0,1,1,TBL,0,0,Tampere,FIN,1995-09-02,,2,1,2013,Aleksander,75,8477493,0,1,Barkov,Aleksander Barkov,FIN,C,L,213,2,4,0,0,0,0,30.0,0.5,2,FLA,1368.0
33,3,0.0,2017-12-20T00:00:00Z,2017020525,1,1,1,TBL,0,0,Langley,CAN,1995-08-03,BC,26,1,2013,Shea,74,8477447,0,1,Theodore,Shea Theodore,CAN,D,L,195,0,4,1,4,0,0,25.0,0.5,2,VGK,1239.0
34,3,0.625,2017-10-21T23:00:00Z,2017020114,1,1,1,PIT,0,0,Markham,CAN,1990-02-07,ON,1,1,2008,Steven,73,8474564,0,1,Stamkos,Steven Stamkos,CAN,C,R,194,1,4,1,3,0,0,21.0,0.25,4,TBL,1103.0
35,3,0.0,2017-12-29T00:00:00Z,2017020573,0,1,1,CHI,0,0,Burnsville,USA,1997-02-25,MN,23,1,2015,Brock,73,8478444,0,1,Boeser,Brock Boeser,USA,R,R,191,4,4,0,0,0,0,23.0,1.0,1,VAN,1025.0
36,3,0.6111,2017-10-13T23:30:00Z,2017020062,0,1,1,VGK,0,0,Njurunda,SWE,1980-10-09,,210,7,1999,Henrik,72,8468083,0,1,Zetterberg,Henrik Zetterberg,SWE,C,L,197,4,4,0,0,0,0,26.0,1.0,1,DET,1157.0
37,3,0.0,2017-10-05T23:30:00Z,2017020010,0,1,1,PIT,0,0,Buffalo,USA,1988-11-19,NY,1,1,2007,Patrick,71,8474141,0,1,Kane,Patrick Kane,USA,R,L,177,5,4,0,0,0,0,22.0,0.5,2,CHI,1015.0
38,3,1.0,2017-12-17T22:00:00Z,2017020509,0,1,1,VAN,0,0,Holland Landing,CAN,1996-06-20,ON,4,1,2014,Sam,73,8477935,0,1,Bennett,Sam Bennett,CAN,C,L,200,3,4,0,1,0,0,17.0,0.25,4,CGY,764.0
39,3,0.0,2017-10-25T23:00:00Z,2017020137,0,1,1,CGY,0,0,Winnipeg,CAN,1984-03-01,MB,24,1,2002,Alexander,72,8470257,0,1,Steen,Alexander Steen,SWE,L,L,211,2,4,0,2,0,0,24.0,0.25,4,STL,965.0
40,3,0.5,2017-10-19T23:00:00Z,2017020095,0,1,1,VAN,0,0,Ancienne-Lorette,CAN,1985-07-24,QC,45,2,2003,Patrice,73,8470638,0,1,Bergeron,Patrice Bergeron,CAN,C,R,195,2,4,1,2,0,0,27.0,0.1666,6,BOS,1258.0
41,3,0.3333,2017-12-19T19:00:00Z,2017020516,1,1,1,CAR,0,0,Markham,CAN,1997-05-05,ON,4,1,2015,Mitchell,72,8478483,0,1,Marner,Mitchell Marner,CAN,C,R,175,2,4,1,2,0,0,18.0,0.1666,6,TOR,795.0
42,3,0.3333,2017-11-17T00:00:00Z,2017020285,0,1,1,WSH,0,0,Nousiainen,FIN,1996-10-29,,10,1,2015,Mikko,76,8478420,0,1,Rantanen,Mikko Rantanen,FIN,R,L,211,3,4,1,2,0,0,22.0,0.2,5,COL,1073.0
43,3,0.4,2017-10-07T23:00:00Z,2017020016,0,1,1,TOR,0,2,Oslo,NOR,1987-09-01,,,,,Mats,68,8475692,0,1,Zuccarello,Mats Zuccarello,NOR,R,L,179,0,4,0,2,0,0,27.0,0.5,2,NYR,1046.0
44,3,0.0,2017-12-07T01:00:00Z,2017020427,1,1,1,CHI,0,2,Moscow,RUS,1985-09-17,,1,1,2004,Alex,75,8471214,0,1,Ovechkin,Alex Ovechkin,RUS,L,R,235,3,4,0,1,0,0,19.0,0.1666,6,WSH,1015.0
45,3,0.6666,2017-12-13T00:00:00Z,2017020470,0,1,1,CBJ,0,0,Richmond Hill,CAN,1997-01-13,ON,1,1,2015,Connor,73,8478402,0,1,McDavid,Connor McDavid,CAN,C,L,192,3,4,0,1,0,0,21.0,0.2,5,EDM,1104.0
46,3,0.4375,2017-10-13T23:00:00Z,2017020058,0,1,1,NJD,0,0,Gävle,SWE,1987-11-23,,4,1,2006,Nicklas,73,8473563,0,1,Backstrom,Nicklas Backstrom,SWE,C,L,210,0,4,1,3,0,0,22.0,0.3333,3,WSH,1099.0
47,3,0.45,2017-10-17T23:00:00Z,2017020089,1,1,1,EDM,0,0,Thunder Bay,CAN,1988-09-10,ON,2,1,2006,Jordan,76,8473533,0,1,Staal,Jordan Staal,CAN,C,L,220,2,4,0,2,1,1,30.0,1.0,1,CAR,1068.0
48,3,0.0,2017-10-08T00:00:00Z,2017020027,1,1,1,WPG,0,0,Salem,USA,1993-08-13,NJ,104,4,2011,Johnny,69,8476346,0,1,Gaudreau,Johnny Gaudreau,USA,L,L,157,0,4,0,2,0,0,22.0,0.3333,3,CGY,1127.0
49,3,0.0,2017-11-22T00:00:00Z,2017020317,0,1,1,EDM,0,0,Wilcox,CAN,1992-06-25,SK,14,1,2010,Jaden,70,8475768,0,1,Schwartz,Jaden Schwartz,CAN,L,L,190,4,4,0,0,0,0,22.0,1.0,1,STL,1052.0
50,3,0.3571,2017-10-17T23:00:00Z,2017020082,1,1,1,NYR,1,2,Magnitogorsk,RUS,1986-07-31,,2,1,2004,Evgeni,75,8471215,0,1,Malkin,Evgeni Malkin,RUS,C,L,195,3,4,0,1,0,0,21.0,0.5,2,PIT,1143.0
51,3,0.0,2017-12-22T00:30:00Z,2017020538,1,1,1,VAN,1,0,Brooklyn,USA,1995-12-12,NY,171,6,2014,Kevin,71,8478099,0,1,Labanc,Kevin Labanc,USA,R,R,185,0,4,0,2,0,0,20.0,0.25,4,SJS,826.0
52,3,0.0,2017-12-03T23:00:00Z,2017020409,0,1,1,OTT,0,0,Plymouth,USA,1986-08-31,MN,5,1,2004,Blake,77,8471218,0,1,Wheeler,Blake Wheeler,USA,R,R,225,2,4,0,2,0,0,21.0,0.1666,6,WPG,916.0
53,4,0.0,2017-10-12T23:30:00Z,2017020051,0,1,0,PIT,0,0,Halifax,CAN,1989-09-14,NS,77,3,2007,Alex,73,8473986,0,1,Killorn,Alex Killorn,CAN,L,L,196,1,4,0,2,0,0,22.0,0.0,3,TBL,1172.0
54,4,0.0,2017-11-07T00:30:00Z,2017020221,0,1,0,DAL,0,0,Plymouth,USA,1986-08-31,MN,5,1,2004,Blake,77,8471218,0,1,Wheeler,Blake Wheeler,USA,R,R,225,3,4,0,1,0,1,30.0,0.0,4,WPG,1351.0
55,4,0.4545,2017-11-14T00:00:00Z,2017020265,0,1,0,DAL,0,0,Thunder Bay,CAN,1988-09-10,ON,2,1,2006,Jordan,76,8473533,0,1,Staal,Jordan Staal,CAN,C,L,220,3,4,0,1,0,0,25.0,0.0,0,CAR,1182.0
56,4,0.0,2017-10-05T23:30:00Z,2017020009,0,1,0,MIN,0,2,Calgary,CAN,1985-10-12,AB,29,1,2004,Mike,73,8471242,0,1,Green,Mike Green,CAN,D,R,207,1,4,0,2,0,0,30.0,0.0,0,DET,1421.0
57,4,0.5238,2017-12-22T00:00:00Z,2017020531,0,1,0,NYI,0,0,Regina,CAN,1985-05-10,SK,19,1,2003,Ryan,76,8470612,0,1,Getzlaf,Ryan Getzlaf,CAN,C,R,223,2,4,0,0,0,0,28.0,0.0,2,ANA,1488.0
58,4,0.0,2017-12-03T00:00:00Z,2017020398,0,1,0,DET,0,0,Milwaukee,USA,1994-02-12,WI,3,1,2012,Alex,73,8476851,0,1,Galchenyuk,Alex Galchenyuk,USA,L,L,207,3,4,0,1,0,0,18.0,0.0,3,MTL,924.0
59,4,0.6153,2017-10-07T23:00:00Z,2017020022,0,1,0,MTL,0,0,Chelyabinsk,RUS,1992-05-19,,26,1,2010,Evgeny,74,8475744,0,1,Kuznetsov,Evgeny Kuznetsov,RUS,C,L,204,3,4,0,1,0,0,20.0,0.0,0,WSH,1038.0
60,4,0.0,2017-10-19T23:30:00Z,2017020099,0,1,0,OTT,0,0,Calgary,CAN,1991-11-14,AB,1,1,2010,Taylor,73,8475791,0,1,Hall,Taylor Hall,CAN,L,L,205,2,4,0,0,0,0,24.0,0.0,3,NJD,1062.0
61,4,0.4117,2017-11-04T22:00:00Z,2017020205,0,1,0,TOR,0,0,Saskatoon,CAN,1991-08-22,SK,5,1,2009,Brayden,73,8475170,0,1,Schenn,Brayden Schenn,CAN,C,L,200,2,4,0,1,0,0,28.0,0.0,1,STL,1201.0
62,0,0.0,2017-10-05T23:30:00Z,2017020008,0,1,3,OTT,0,0,Moscow,RUS,1985-09-17,,1,1,2004,Alex,75,8471214,0,1,Ovechkin,Alex Ovechkin,RUS,L,R,235,3,3,0,0,0,0,22.0,0.5,6,WSH,1151.0
63,0,0.0,2017-11-10T00:30:00Z,2017020237,1,1,3,MTL,0,2,Newport Beach,USA,1992-01-16,CA,59,2,2010,Jason,71,8475722,0,1,Zucker,Jason Zucker,USA,L,L,187,3,3,0,0,1,1,24.0,0.4285,7,MIN,992.0
64,0,0.3333,2017-11-25T01:00:00Z,2017020345,1,1,3,CGY,0,0,Brampton,CAN,1992-01-31,ON,2,1,2010,Tyler,73,8475794,0,1,Seguin,Tyler Seguin,CAN,C,R,201,3,3,0,0,0,0,25.0,0.3,10,DAL,1230.0
65,0,0.0,2017-12-02T00:00:00Z,2017020390,1,1,3,CAR,0,0,Villach,AUT,1987-10-05,,14,1,2006,Michael,73,8473546,0,1,Grabner,Michael Grabner,AUT,R,L,188,2,3,0,0,0,0,20.0,0.75,4,NYR,758.0
66,0,0.0,2017-10-18T23:00:00Z,2017020093,0,1,3,CHI,0,0,Wilcox,CAN,1992-06-25,SK,14,1,2010,Jaden,70,8475768,0,1,Schwartz,Jaden Schwartz,CAN,L,L,190,3,3,0,0,0,0,24.0,0.6,5,STL,1075.0
67,0,0.0,2017-12-22T00:00:00Z,2017020531,1,1,3,NYI,1,0,Helsingborg,SWE,1994-01-20,,6,1,2012,Hampus,75,8476854,0,1,Lindholm,Hampus Lindholm,SWE,D,L,208,3,3,0,0,0,0,24.0,0.5,6,ANA,1315.0
68,0,0.0,2017-12-15T00:00:00Z,2017020481,0,1,3,CBJ,0,0,Bowmanville,CAN,1989-10-02,ON,9,1,2008,Josh,73,8474573,0,1,Bailey,Josh Bailey,CAN,R,L,203,1,3,1,1,0,0,25.0,1.0,3,NYI,1161.0
69,0,0.4,2017-11-02T23:00:00Z,2017020193,0,1,3,DAL,0,0,Kitchener,CAN,1993-03-15,ON,7,1,2011,Mark,75,8476460,0,1,Scheifele,Mark Scheifele,CAN,C,R,207,2,3,1,1,0,0,27.0,0.75,4,WPG,1410.0
70,0,0.5625,2017-11-29T00:00:00Z,2017020376,1,1,3,VGK,0,0,Vitkov,CZE,1994-01-09,,13,1,2012,Radek,75,8476889,0,1,Faksa,Radek Faksa,CZE,C,L,216,3,3,0,0,0,0,26.0,0.6,5,DAL,920.0
71,0,0.0,2017-10-05T00:00:00Z,2017020003,1,1,3,CGY,0,0,Richmond Hill,CAN,1997-01-13,ON,1,1,2015,Connor,73,8478402,0,1,McDavid,Connor McDavid,CAN,C,L,192,3,3,0,0,0,0,25.0,0.4285,7,EDM,1172.0
72,0,0.75,2017-12-30T00:00:00Z,2017020581,0,1,3,NSH,0,0,Oulu,FIN,1992-02-26,,9,1,2010,Mikael,70,8475798,0,1,Granlund,Mikael Granlund,FIN,R,L,185,2,3,1,1,0,0,23.0,0.4285,7,MIN,1119.0
73,0,0.0,2017-10-04T23:30:00Z,2017020004,1,1,3,SJS,0,0,Scarborough,CAN,1988-08-26,ON,61,2,2007,Wayne,74,8474190,0,1,Simmonds,Wayne Simmonds,CAN,R,R,185,1,3,2,2,0,0,25.0,1.0,3,PHI,1175.0
74,0,0.0,2017-11-17T00:00:00Z,2017020285,0,1,3,WSH,0,0,Stockholm,SWE,1992-11-23,,2,1,2011,Gabriel,73,8476455,0,1,Landeskog,Gabriel Landeskog,SWE,L,L,215,2,3,1,1,0,0,26.0,0.4285,7,COL,1223.0
75,0,0.0,2017-11-18T19:00:00Z,2017020293,1,1,3,OTT,1,0,Pointe-Claire,CAN,1995-08-26,QC,80,3,2013,Anthony,71,8477407,0,1,Duclair,Anthony Duclair,CAN,L,L,191,2,3,1,1,0,0,24.0,0.6,5,ARI,996.0
76,0,0.0,2017-10-24T23:00:00Z,2017020134,0,1,3,DAL,0,0,Long Beach,USA,1992-11-05,CA,47,2,2011,Matt,71,8476442,0,1,Nieto,Matt Nieto,USA,L,L,190,4,3,0,0,0,0,22.0,1.0,3,COL,906.0
77,0,0.4705,2017-11-16T00:00:00Z,2017020276,1,1,3,NYR,0,0,Yaroslavl,RUS,1988-05-24,,54,2,2006,Artem,76,8473573,0,1,Anisimov,Artem Anisimov,RUS,C,L,198,2,3,1,1,0,0,26.0,0.6,5,CHI,1105.0
78,0,0.0,2017-10-05T23:30:00Z,2017020010,1,1,3,PIT,0,0,Pittsburgh,USA,1992-10-27,PA,43,2,2011,Brandon,73,8476438,0,1,Saad,Brandon Saad,USA,L,L,206,3,3,0,0,0,0,25.0,0.6,5,CHI,887.0
79,0,0.0,2017-12-03T00:00:00Z,2017020398,0,1,3,DET,0,0,Ottawa,CAN,1989-04-27,ON,179,6,2007,Paul,69,8474038,0,1,Byron,Paul Byron,CAN,L,L,162,3,3,0,0,0,0,19.0,0.75,4,MTL,844.0
80,0,0.3333,2017-12-23T18:00:00Z,2017020544,1,1,3,WPG,0,0,Coquitlam,CAN,1997-05-26,BC,16,1,2015,Mathew,72,8478445,0,1,Barzal,Mathew Barzal,CAN,C,R,189,3,3,0,0,0,0,16.0,0.75,4,NYI,938.0
81,0,0.0,2017-10-26T23:30:00Z,2017020145,0,1,3,ANA,0,0,Mlada Boleslav,CZE,1981-06-13,,212,7,1999,Radim,73,8468085,0,1,Vrbata,Radim Vrbata,CZE,R,R,194,2,3,1,1,0,0,21.0,0.5,6,FLA,791.0
82,0,0.45,2017-10-28T23:00:00Z,2017020163,0,1,3,NSH,0,0,Mississauga,CAN,1990-09-20,ON,1,1,2009,John,73,8475166,0,1,Tavares,John Tavares,CAN,C,L,208,1,3,1,1,0,0,22.0,0.75,4,NYI,1053.0
83,0,0.5,2017-12-06T00:30:00Z,2017020418,1,1,3,MTL,0,0,Saskatoon,CAN,1991-08-22,SK,5,1,2009,Brayden,73,8475170,0,1,Schenn,Brayden Schenn,CAN,C,L,200,3,3,0,0,0,0,23.0,0.75,4,STL,1063.0
84,0,0.0,2017-10-21T23:00:00Z,2017020115,0,1,3,NYI,0,0,Guelph,CAN,1989-03-28,ON,9,1,2007,Logan,73,8474053,0,1,Couture,Logan Couture,CAN,C,L,205,1,3,1,1,0,0,25.0,1.0,3,SJS,1102.0
85,0,0.0,2017-11-26T00:00:00Z,2017020348,0,1,3,TOR,0,0,Moscow,RUS,1985-09-17,,1,1,2004,Alex,75,8471214,0,1,Ovechkin,Alex Ovechkin,RUS,L,R,235,2,3,1,1,0,0,22.0,0.75,4,WSH,1124.0
86,1,0.5,2017-12-12T00:00:00Z,2017020464,1,1,2,VAN,0,0,Drummondville,CAN,1988-01-05,QC,177,6,2006,Mathieu,70,8473618,0,1,Perreault,Mathieu Perreault,CAN,C,L,188,2,3,0,1,0,0,16.0,0.5,4,WPG,715.0
87,1,1.0,2017-11-21T00:00:00Z,2017020314,0,1,2,NJD,0,0,Oulu,FIN,1992-02-26,,9,1,2010,Mikael,70,8475798,0,1,Granlund,Mikael Granlund,FIN,R,L,185,0,3,1,2,0,0,24.0,0.3333,6,MIN,1317.0
88,1,0.6,2017-10-09T23:30:00Z,2017020036,0,1,2,TBL,0,0,Everett,USA,1986-12-23,WA,24,1,2005,T.J.,71,8471698,0,1,Oshie,T.J. Oshie,USA,R,R,195,1,3,2,2,0,0,25.0,0.5,4,WSH,1111.0
89,1,0.6,2017-11-26T00:00:00Z,2017020353,1,1,2,TBL,0,0,Cole Harbour,CAN,1987-08-07,NS,1,1,2005,Sidney,71,8471675,0,1,Crosby,Sidney Crosby,CAN,C,L,200,0,3,2,3,0,0,24.0,0.6666,3,PIT,1196.0
90,1,0.44,2017-11-07T00:30:00Z,2017020221,0,1,2,DAL,0,0,Kitchener,CAN,1993-03-15,ON,7,1,2011,Mark,75,8476460,0,1,Scheifele,Mark Scheifele,CAN,C,R,207,3,3,0,1,1,1,30.0,0.5,4,WPG,1350.0
91,1,0.4444,2017-12-22T00:00:00Z,2017020531,0,1,2,ANA,0,0,Mississauga,CAN,1990-09-20,ON,1,1,2009,John,73,8475166,0,1,Tavares,John Tavares,CAN,C,L,208,-2,3,1,2,0,0,27.0,0.4,5,NYI,1180.0
92,1,0.0,2017-12-05T00:00:00Z,2017020414,0,1,2,BOS,0,0,Madison,USA,1989-09-05,WI,98,4,2009,Craig,73,8475225,0,1,Smith,Craig Smith,USA,R,R,208,2,3,0,0,0,0,21.0,0.6666,3,NSH,891.0
93,1,0.5,2017-12-28T00:00:00Z,2017020558,0,1,2,OTT,0,0,Consort,CAN,1989-05-09,AB,21,1,2007,Riley,73,8474062,0,1,Nash,Riley Nash,CAN,C,R,190,3,3,0,0,0,0,22.0,1.0,2,BOS,863.0
94,1,0.3333,2017-11-16T00:30:00Z,2017020275,0,1,2,CGY,0,0,London,CAN,1994-08-06,ON,110,4,2012,Andreas,74,8476960,0,1,Athanasiou,Andreas Athanasiou,CAN,L,L,188,1,3,1,2,0,0,24.0,0.4,5,DET,1249.0
95,1,0.4545,2017-12-10T23:00:00Z,2017020459,0,1,2,SJS,0,2,Thunder Bay,CAN,1984-10-29,ON,2,1,2003,Eric,76,8470595,0,1,Staal,Eric Staal,CAN,C,L,209,3,3,0,1,0,0,28.0,0.3333,6,MIN,1209.0
96,1,0.0,2017-10-20T23:00:00Z,2017020104,0,1,2,BUF,0,0,Kindersley,CAN,1986-12-20,SK,189,7,2006,Derek,72,8473432,0,1,Dorsett,Derek Dorsett,CAN,R,R,192,2,3,0,0,1,1,27.0,0.5,4,VAN,1082.0
